"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","Total Usage"
"SANTA BARBARA","Non-Residential","    2027.512978","    2038.048049","    2098.506808","    2344.241121","    2607.655164","    2543.959558","    2428.302295","    2442.340778","    2433.395295","    2431.975284","    2451.355668","    2367.172825","    2415.838449","    2436.464894","    2376.209608","    2222.252215","    2279.403581","    2006.975575","   41951.610145"
"SANTA BARBARA","Residential","     763.646905","     766.458106","     759.849738","     766.358133","     805.883676","     832.530971","     837.943344","     801.476135","     802.083483","     809.491403","     815.953529","     813.888189","     773.327901","     807.323722","     789.867410","     773.077847","     742.627969","     736.809167","   14198.597628"
"SANTA CLARA","Non-Residential","   12778.359518","   13232.183222","   13012.171333","   12947.992588","   12820.180246","   12660.119101","   12617.858040","   12653.049799","   12345.293169","   12593.451868","   12778.655246","   12560.951575","   11967.061351","   11681.195084","   11581.914038","   11326.189872","   10889.927003","   11764.429791","  222210.982844"
"SANTA CLARA","Residential","    3889.801082","    3962.421476","    3812.264730","    3859.209092","    3852.266765","    3918.749958","    3889.825730","    3926.741398","    3925.833541","    3971.467237","    3954.553447","    3898.825058","    4091.072892","    3884.854034","    3777.564777","    3856.848756","    3631.721159","    3632.532569","   69736.553701"
"SANTA CRUZ","Non-Residential","     656.846071","     667.518671","     666.900018","     682.647970","     681.047589","     681.837401","     666.379542","     657.989464","     665.517315","     684.817200","     774.088972","     825.547849","     868.326178","     836.648431","     898.049552","     819.459543","     870.386473","     922.188709","   13526.196948"
"SANTA CRUZ","Residential","     550.306574","     554.763323","     557.507305","     551.701187","     557.896788","     594.576974","     599.535615","     602.839133","     603.289120","     594.390480","     585.165016","     584.846594","     567.961206","     563.867798","     570.869368","     544.723266","     542.952346","     545.896740","   10273.088833"
"SHASTA","Non-Residential","     807.734813","     814.692639","     816.056877","     837.248805","     814.787970","     795.062902","     782.270627","     773.171208","     777.863208","     810.650758","     852.018583","     876.760956","     871.118779","     865.890043","    1011.873741","     956.732595","     945.225608","     883.952043","   15293.112155"
"SHASTA","Residential","     741.456813","     783.347877","     744.103124","     729.764078","     730.543553","     748.121485","     747.917768","     746.189550","     746.719475","     756.690788","     752.485745","     741.001466","     743.385601","     710.115374","     713.036247","     689.644737","     668.174869","     639.901689","   13132.600239"
"SIERRA","Non-Residential","       7.808092","       8.245876","      10.137113","       9.660738","      10.396783","       9.623227","       9.372061","       9.357760","       9.325308","      10.033662","      10.599838","      11.467064","       9.007381","       9.900346","       9.507515","      19.922779","      17.390710","      20.715837","     202.472090"
"SIERRA","Residential","      13.148915","      13.513412","      15.665689","      14.359115","      13.187279","      13.834150","      14.166236","      14.038939","      14.375856","      14.393230","      14.503157","      16.769282","      14.853535","      15.222403","      15.110676","      15.061682","      14.777267","      14.826266","     261.807089"
"SISKIYOU","Non-Residential","     266.992909","     268.361794","     269.252611","     271.487817","     267.713399","     265.747080","     257.716385","     264.510348","     264.868504","     277.484453","     294.729358","     319.318418","     277.689254","     274.441653","     288.855996","     278.418012","     283.868949","     270.149297","    4961.606237"
"SISKIYOU","Residential","     218.353549","     231.776583","     217.789987","     218.689488","     213.840861","     231.373246","     227.603068","     235.348271","     236.593108","     240.088325","     246.823226","     243.915767","     236.536075","     235.488133","     229.817261","     230.982636","     218.048840","     212.419492","    4125.487916"
"SOLANO","Non-Residential","    2184.165042","    2126.439922","    2186.321831","    2199.347263","    2210.767300","    2207.674328","    2173.108811","    2109.536720","    2060.584665","    2153.984534","    2146.781886","    2328.690049","    2112.839923","    2120.687251","    2064.247194","    1972.347375","    1948.559885","    1909.086770","   38215.170749"
"SOLANO","Residential","    1042.070651","    1074.495749","    1020.842473","    1016.376649","    1010.442223","    1021.483886","    1020.257746","    1013.345940","    1003.360190","    1021.028346","    1029.947646","    1011.930309","    1052.983975","     999.973148","     989.503556","     990.799323","     908.905878","     877.695760","   18105.443448"
"SONOMA","Non-Residential","    1646.222179","    1692.708193","    1662.202516","    1661.656412","    1660.238290","    1627.881938","    1575.174764","    1546.641716","    1539.605660","    1540.130809","    1645.278337","    1650.427611","    1566.324904","    1520.565672","    1638.263127","    1566.716984","    1615.883410","    1517.876470","   28873.798992"
